N,P,K,temperature,humidity,ph,rainfall,label
113,43,75,32.53,94.31,5.52,180.98,arecanut
115,46,99,22.07,94.95,5.74,161.98,arecanut
88,67,62,34.65,72.37,5.69,186.21,arecanut
140,56,53,28.32,80.71,5.05,251.5,arecanut
124,75,64,30.01,85.79,5.66,175.02,arecanut
144,68,47,28.07,82.65,6.2,177.23,arecanut
127,40,76,25.14,88.78,5.31,289.44,arecanut
85,41,42,22.24,74.4,6.08,272.98,arecanut
92,77,62,31.64,91.54,5.82,299.55,arecanut
137,73,100,21.44,93.22,6.18,198.82,arecanut
126,65,80,23.83,84.2,6.16,279.82,arecanut
99,70,73,23.48,80.21,5.19,256.41,arecanut
144,61,43,26.2,88.39,5.59,232.11,arecanut
134,46,66,29.23,79.66,5.03,173.46,arecanut
107,42,76,33.75,90.32,6.39,241.57,arecanut
108,42,70,22.81,77.83,5.18,242.35,arecanut
110,74,58,34.83,94.97,5.89,223.76,arecanut
90,64,59,20.01,70.75,5.08,229.86,arecanut
82,48,90,24.59,89.21,5.02,229.52,arecanut
97,80,100,32.09,87.27,5.01,271.73,arecanut
134,68,81,23.65,92.39,5.63,235.43,arecanut
131,51,61,29.86,89.72,6.3,270.83,arecanut
149,41,79,27.5,79.42,5.96,192.47,arecanut
140,52,57,21.34,71.49,5.98,220.0,arecanut
129,71,95,23.14,85.82,5.01,204.59,arecanut
142,49,50,33.0,86.63,6.01,189.57,arecanut
135,47,68,23.44,76.2,5.55,164.59,arecanut
86,64,85,34.96,75.48,6.04,179.62,arecanut
92,71,73,27.4,93.19,5.33,168.12,arecanut
136,41,87,31.3,90.84,5.08,233.32,arecanut
136,69,42,33.77,94.57,5.56,271.19,arecanut
87,40,79,29.41,84.08,5.14,166.33,arecanut
144,57,45,21.34,81.21,6.26,167.32,arecanut
94,50,40,33.53,93.73,5.97,244.16,arecanut
128,41,43,28.99,85.58,6.43,279.3,arecanut
141,43,86,24.09,79.44,5.62,151.72,arecanut
97,42,73,25.3,87.82,6.02,298.11,arecanut
134,70,74,29.44,79.56,5.78,213.55,arecanut
111,62,78,26.52,79.39,5.69,250.61,arecanut
145,75,42,28.5,82.76,5.93,238.3,arecanut
130,77,96,26.46,89.3,5.9,222.81,arecanut
101,71,78,26.04,90.68,5.05,180.35,arecanut
105,80,65,30.85,87.77,6.39,282.52,arecanut
106,42,82,25.34,87.48,5.52,246.22,arecanut
99,51,42,32.69,81.67,5.27,217.79,arecanut
95,66,82,30.08,79.23,5.62,290.38,arecanut
147,76,77,34.54,90.32,5.69,151.64,arecanut
85,61,82,34.45,80.83,5.15,201.93,arecanut
130,59,55,28.44,76.2,5.66,188.92,arecanut
97,70,44,33.82,71.76,5.14,255.65,arecanut
90,78,44,20.76,94.41,6.16,271.56,arecanut
133,51,76,29.26,75.13,5.87,221.55,arecanut
116,65,65,22.44,90.01,5.87,162.55,arecanut
97,42,77,29.32,75.33,5.83,276.51,arecanut
136,42,64,24.93,90.43,5.08,203.28,arecanut
141,60,57,33.59,88.14,5.83,202.88,arecanut
130,46,100,33.2,75.86,6.36,279.53,arecanut
89,65,96,22.5,74.18,5.73,255.47,arecanut
146,71,88,22.07,75.69,5.09,244.04,arecanut
127,45,85,24.1,73.52,6.01,275.72,arecanut
107,41,89,24.22,86.01,5.96,189.03,arecanut
108,52,55,25.96,78.41,5.1,193.85,arecanut
104,73,60,30.73,88.24,5.33,161.68,arecanut
138,66,81,27.37,87.03,6.0,261.99,arecanut
138,40,48,24.99,75.22,6.25,223.09,arecanut
104,74,79,31.85,90.66,5.49,197.01,arecanut
114,50,89,20.07,83.21,6.14,274.81,arecanut
105,46,51,29.97,78.64,5.39,284.61,arecanut
103,44,76,24.11,79.69,6.27,228.92,arecanut
85,65,65,33.04,75.83,5.29,260.75,arecanut
149,64,47,27.26,90.71,5.49,272.38,arecanut
135,53,82,25.95,73.01,6.27,242.32,arecanut
80,71,51,28.85,76.62,5.07,275.44,arecanut
99,74,83,22.72,81.49,5.75,238.21,arecanut
102,54,100,31.79,80.16,6.09,191.5,arecanut
119,42,76,25.03,86.58,6.2,299.11,arecanut
141,40,63,28.33,79.24,6.42,209.89,arecanut
142,76,84,31.42,71.57,5.01,163.03,arecanut
140,63,71,26.54,73.33,5.32,223.4,arecanut
144,48,55,33.06,93.3,5.3,267.99,arecanut
134,78,60,29.09,71.37,6.44,254.43,arecanut
132,50,66,31.95,86.55,6.47,297.4,arecanut
87,41,96,21.56,87.97,5.77,223.26,arecanut
140,46,54,33.33,85.48,5.76,229.91,arecanut
147,70,47,25.89,73.16,5.04,198.48,arecanut
97,65,71,23.99,83.98,5.38,222.79,arecanut
113,65,92,20.02,83.42,5.27,289.84,arecanut
114,74,52,21.31,74.51,5.21,219.32,arecanut
136,42,47,28.07,90.69,5.78,229.25,arecanut
112,51,41,27.13,92.55,5.08,251.85,arecanut
116,63,53,33.0,74.1,5.53,155.07,arecanut
80,49,74,26.56,72.26,5.19,228.27,arecanut
85,46,66,24.17,92.38,5.93,225.52,arecanut
130,60,64,22.33,80.76,5.29,273.63,arecanut
87,45,63,32.06,78.7,6.46,244.31,arecanut
124,71,69,28.85,73.7,5.04,286.68,arecanut
108,67,59,25.79,87.12,6.15,200.6,arecanut
136,77,68,25.57,86.86,6.29,192.8,arecanut
103,53,61,25.66,79.38,6.24,174.42,arecanut
120,63,98,22.22,79.86,6.0,216.43,arecanut
139,78,80,21.63,73.52,5.28,216.51,arecanut
84,79,47,23.1,72.36,5.91,210.25,arecanut
121,75,77,29.12,89.82,5.89,197.36,arecanut
42,31,23,26.71,57.28,6.82,90.78,arhar/tur
23,45,39,25.2,41.34,6.03,99.11,arhar/tur
31,44,28,34.42,50.63,8.0,63.53,arhar/tur
48,32,33,25.29,51.18,7.33,66.18,arhar/tur
52,45,30,30.42,64.7,7.38,31.36,arhar/tur
48,28,31,28.63,50.2,7.85,69.34,arhar/tur
35,36,50,34.06,48.09,7.68,91.87,arhar/tur
32,47,27,31.42,46.86,6.16,36.27,arhar/tur
60,44,24,26.64,45.35,6.64,64.18,arhar/tur
37,26,43,30.84,69.56,7.89,63.0,arhar/tur
36,45,35,26.46,45.95,7.14,43.13,arhar/tur
23,23,38,23.81,45.64,6.11,59.15,arhar/tur
41,20,24,20.45,50.14,7.53,82.04,arhar/tur
54,37,47,28.38,40.94,6.72,75.7,arhar/tur
23,35,20,23.55,46.88,6.47,45.45,arhar/tur
48,48,37,25.12,58.39,7.76,56.72,arhar/tur
36,44,28,33.77,47.4,7.57,40.74,arhar/tur
24,41,47,33.57,47.37,6.44,60.87,arhar/tur
58,31,40,26.12,52.01,7.31,48.34,arhar/tur
33,33,22,28.25,40.65,6.78,30.87,arhar/tur
44,48,42,30.05,47.09,6.17,62.46,arhar/tur
48,29,50,27.57,53.58,7.22,93.56,arhar/tur
36,23,45,26.51,61.09,7.42,73.69,arhar/tur
45,47,36,21.47,67.28,7.93,43.51,arhar/tur
50,30,39,34.47,59.61,6.49,54.18,arhar/tur
33,38,33,28.62,47.1,6.41,71.84,arhar/tur
35,36,21,33.93,44.63,7.63,66.96,arhar/tur
54,41,21,33.64,61.7,7.93,74.75,arhar/tur
40,36,29,29.51,62.74,7.44,61.0,arhar/tur
58,43,48,27.52,62.87,7.56,37.34,arhar/tur
34,34,47,25.02,57.22,6.67,39.14,arhar/tur
38,47,25,21.08,44.22,6.33,39.4,arhar/tur
40,21,24,30.85,67.61,7.16,42.42,arhar/tur
41,45,23,32.89,50.26,7.08,41.13,arhar/tur
30,48,42,24.46,45.8,6.2,73.69,arhar/tur
58,33,50,34.87,48.1,7.49,47.59,arhar/tur
32,22,43,25.69,67.97,6.84,63.21,arhar/tur
21,35,47,22.76,40.77,7.67,70.26,arhar/tur
35,25,47,21.99,59.38,6.66,68.37,arhar/tur
25,46,37,24.81,47.66,7.58,81.16,arhar/tur
42,21,24,22.04,59.73,7.88,46.68,arhar/tur
46,35,34,20.2,47.84,6.59,79.85,arhar/tur
41,23,49,29.46,41.64,6.29,56.91,arhar/tur
50,21,32,21.29,56.2,6.13,44.91,arhar/tur
44,24,30,22.71,48.86,6.35,57.28,arhar/tur
59,26,21,24.33,54.42,7.61,33.73,arhar/tur
29,27,22,31.18,51.59,6.6,50.28,arhar/tur
58,37,29,34.31,40.15,7.88,34.71,arhar/tur
49,23,34,21.91,69.13,7.9,74.57,arhar/tur
33,48,40,32.14,40.87,6.06,74.76,arhar/tur
23,22,28,29.61,61.22,6.27,62.36,arhar/tur
34,31,40,21.67,42.88,7.77,78.32,arhar/tur
28,22,45,22.91,49.47,6.07,84.15,arhar/tur
27,23,30,33.67,60.58,6.83,92.55,arhar/tur
33,30,48,23.36,41.21,7.21,66.77,arhar/tur
44,25,50,27.97,49.7,6.83,62.3,arhar/tur
49,26,49,29.86,62.75,7.8,46.61,arhar/tur
53,48,32,31.89,42.62,6.14,98.13,arhar/tur
45,45,29,22.05,42.05,7.65,42.74,arhar/tur
37,24,42,27.96,53.62,7.71,71.23,arhar/tur
42,23,31,33.15,40.3,7.4,81.55,arhar/tur
33,22,48,30.14,41.73,7.84,69.04,arhar/tur
35,37,45,22.59,61.83,7.95,81.9,arhar/tur
50,23,38,25.12,64.29,7.76,54.04,arhar/tur
42,45,48,34.85,50.4,7.19,69.06,arhar/tur
47,24,20,23.23,45.22,7.4,73.23,arhar/tur
27,35,24,24.61,56.43,7.76,48.39,arhar/tur
44,46,43,26.41,41.93,6.71,32.5,arhar/tur
41,44,35,29.55,58.66,6.92,37.67,arhar/tur
46,21,31,25.22,52.9,7.95,83.82,arhar/tur
30,30,43,34.14,48.97,8.0,58.4,arhar/tur
28,32,21,23.84,49.5,7.9,91.45,arhar/tur
44,37,24,32.04,60.04,7.7,92.42,arhar/tur
40,31,20,22.41,66.62,7.53,35.8,arhar/tur
28,44,50,28.72,55.23,7.66,86.55,arhar/tur
58,21,36,22.82,69.77,6.22,37.58,arhar/tur
35,33,39,29.66,41.3,7.78,94.35,arhar/tur
47,21,50,29.53,45.59,7.44,98.44,arhar/tur
56,41,36,28.76,41.98,6.52,51.1,arhar/tur
24,35,47,28.35,55.72,6.03,36.89,arhar/tur
39,36,35,26.48,50.44,7.56,92.2,arhar/tur
29,50,50,32.32,58.93,6.0,51.38,arhar/tur
23,24,31,25.87,54.86,6.11,82.22,arhar/tur
59,21,50,28.22,42.11,7.85,69.49,arhar/tur
29,23,21,27.56,68.7,7.53,96.81,arhar/tur
41,37,35,22.14,41.73,6.08,83.53,arhar/tur
34,49,47,27.05,40.6,7.57,83.92,arhar/tur
37,48,23,33.27,47.09,7.36,43.35,arhar/tur
41,38,43,25.66,50.22,7.89,89.72,arhar/tur
33,32,31,29.95,52.59,6.42,42.07,arhar/tur
24,47,23,29.02,57.14,7.99,46.48,arhar/tur
26,25,48,27.6,47.87,7.1,62.49,arhar/tur
50,34,45,23.88,64.27,7.81,61.88,arhar/tur
30,26,37,22.48,48.6,6.1,90.27,arhar/tur
47,32,33,34.57,64.46,7.86,59.8,arhar/tur
24,44,38,20.99,63.4,7.34,91.5,arhar/tur
44,32,49,27.86,52.2,6.12,98.54,arhar/tur
21,34,49,27.48,42.41,7.34,61.86,arhar/tur
57,42,31,21.22,42.44,6.2,37.84,arhar/tur
36,33,26,24.95,67.22,6.94,38.81,arhar/tur
49,28,27,29.64,52.49,6.68,54.7,arhar/tur
46,48,49,34.6,69.24,7.59,35.98,arhar/tur
46,20,21,32.05,41.6,7.2,47.53,arhar/tur
43,23,28,28.23,43.7,7.24,46.38,arhar/tur
40,31,45,31.48,59.66,6.31,95.33,arhar/tur
37,31,41,20.04,57.26,6.03,67.26,arhar/tur
47,31,27,22.75,58.2,6.9,33.29,arhar/tur
25,34,47,25.81,44.05,7.6,97.64,arhar/tur
56,21,30,23.93,50.94,6.17,88.44,arhar/tur
60,48,31,29.5,51.71,6.85,91.96,arhar/tur
49,20,21,28.93,52.02,7.67,91.3,arhar/tur
40,47,36,26.61,50.58,6.74,92.22,arhar/tur
32,32,41,20.01,67.9,6.12,68.23,arhar/tur
48,36,27,32.94,65.48,6.1,83.77,arhar/tur
52,21,36,26.86,42.42,6.92,87.58,arhar/tur
48,27,33,33.61,69.81,7.02,87.47,arhar/tur
53,41,50,29.85,42.09,7.78,38.99,arhar/tur
24,32,26,28.69,45.57,7.34,64.43,arhar/tur
51,35,46,26.39,52.15,6.16,34.5,arhar/tur
44,41,37,23.54,66.83,7.09,53.46,arhar/tur
76,47,47,25.51,69.94,5.93,148.32,ash gourd
61,32,36,21.66,56.23,7.03,104.47,ash gourd
71,42,53,25.24,78.13,5.62,63.35,ash gourd
87,48,42,26.77,57.48,6.91,122.42,ash gourd
100,49,41,31.84,57.92,6.49,91.08,ash gourd
75,36,41,21.39,58.41,6.06,137.98,ash gourd
92,30,50,33.87,57.25,7.38,180.97,ash gourd
74,39,33,27.13,70.14,7.4,120.22,ash gourd
84,42,56,23.44,66.25,6.49,132.0,ash gourd
57,38,51,26.44,67.56,7.47,173.76,ash gourd
82,45,57,33.62,55.2,6.04,50.45,ash gourd
41,58,30,32.87,57.16,6.66,120.27,ash gourd
82,33,56,30.87,61.74,6.85,151.91,ash gourd
64,47,31,25.71,73.58,6.02,164.87,ash gourd
80,48,30,32.29,65.29,7.45,105.19,ash gourd
47,40,44,26.68,64.19,6.84,145.01,ash gourd
53,57,44,30.36,67.33,7.26,60.38,ash gourd
82,59,43,23.28,56.48,7.35,155.86,ash gourd
78,31,58,24.05,64.45,6.89,62.99,ash gourd
88,38,58,29.56,67.35,6.61,160.31,ash gourd
58,54,42,20.9,75.49,5.52,134.94,ash gourd
59,59,40,22.42,53.96,7.38,143.98,ash gourd
50,46,60,25.61,54.58,6.99,57.03,ash gourd
82,46,35,20.33,54.15,6.16,126.89,ash gourd
55,36,54,20.16,69.49,6.87,122.65,ash gourd
53,33,37,29.47,57.6,6.7,61.69,ash gourd
69,48,54,34.82,66.83,7.49,159.57,ash gourd
64,36,46,32.3,75.28,6.88,104.8,ash gourd
63,51,32,26.05,55.43,7.04,170.06,ash gourd
69,57,48,22.6,59.1,5.98,172.79,ash gourd
78,30,44,33.07,71.4,6.58,181.17,ash gourd
69,58,37,30.96,51.23,7.11,69.51,ash gourd
82,60,37,33.12,57.47,7.06,127.8,ash gourd
47,50,55,34.24,75.15,7.27,193.8,ash gourd
51,33,44,33.22,54.25,7.14,155.25,ash gourd
85,32,44,32.62,56.0,6.6,130.81,ash gourd
58,40,33,32.42,63.95,6.37,58.68,ash gourd
81,38,51,30.06,57.45,7.1,177.8,ash gourd
72,54,51,25.35,59.48,6.68,166.5,ash gourd
53,33,39,25.87,64.95,7.33,197.52,ash gourd
65,40,48,28.0,77.75,6.16,102.49,ash gourd
42,42,32,31.01,64.09,5.65,175.38,ash gourd
84,57,37,29.04,51.43,6.07,131.2,ash gourd
71,58,33,34.99,79.74,5.68,143.73,ash gourd
63,48,45,26.58,57.33,6.98,134.52,ash gourd
100,36,34,34.66,78.54,5.68,186.02,ash gourd
47,43,34,32.34,72.03,7.15,125.12,ash gourd
70,40,44,34.1,53.73,7.25,58.38,ash gourd
82,41,57,23.7,52.02,6.26,70.92,ash gourd
76,56,32,27.61,73.21,5.61,125.99,ash gourd
86,52,59,21.39,68.78,6.59,64.0,ash gourd
80,52,58,24.59,66.79,5.65,194.07,ash gourd
78,32,38,33.43,77.12,5.86,71.64,ash gourd
63,43,59,34.23,57.18,5.78,96.24,ash gourd
91,31,59,29.66,73.64,6.08,92.4,ash gourd
49,31,39,33.09,72.22,6.86,166.49,ash gourd
81,48,33,34.01,50.79,5.61,133.62,ash gourd
85,53,48,29.85,76.9,6.29,163.13,ash gourd
73,48,39,30.71,62.94,6.85,179.64,ash gourd
54,46,46,34.4,54.4,6.8,174.26,ash gourd
76,35,39,32.26,71.95,6.68,196.88,ash gourd
70,43,35,33.47,54.92,5.82,84.68,ash gourd
45,30,57,27.5,57.99,6.81,190.8,ash gourd
49,59,52,28.8,67.28,7.13,152.71,ash gourd
71,31,40,31.74,50.98,7.31,156.45,ash gourd
91,52,53,26.67,64.04,6.15,119.57,ash gourd
46,49,36,24.58,60.82,6.75,174.03,ash gourd
68,44,49,23.97,51.69,5.8,122.14,ash gourd
63,30,45,22.73,53.99,6.36,104.84,ash gourd
63,40,48,24.12,72.75,6.37,133.96,ash gourd
70,33,31,21.05,65.52,7.36,184.4,ash gourd
53,52,40,23.83,66.98,6.96,167.56,ash gourd
51,31,53,27.55,69.75,7.1,125.46,ash gourd
67,34,40,20.99,64.96,6.06,121.22,ash gourd
50,31,53,26.58,61.57,6.22,90.74,ash gourd
45,36,57,21.43,72.69,5.51,109.68,ash gourd
55,58,55,31.48,65.61,5.67,154.63,ash gourd
72,41,50,32.89,53.71,7.38,76.5,ash gourd
70,32,51,27.28,52.75,5.76,193.84,ash gourd
89,33,52,28.21,56.36,5.93,50.75,ash gourd
44,36,46,25.49,55.68,5.96,171.17,ash gourd
78,30,50,24.51,55.83,6.38,57.42,ash gourd
67,32,50,29.74,76.66,6.16,161.62,ash gourd
72,58,59,21.69,66.05,6.11,119.6,ash gourd
96,35,43,27.97,51.97,7.49,79.51,ash gourd
60,39,31,23.3,77.06,5.87,132.62,ash gourd
59,46,39,23.25,57.33,6.42,176.12,ash gourd
71,54,42,33.43,67.05,7.01,65.44,ash gourd
95,42,47,31.28,55.27,7.15,56.43,ash gourd
41,43,33,26.58,60.25,5.72,167.54,ash gourd
92,45,59,29.34,76.81,7.07,54.19,ash gourd
71,42,42,25.7,70.97,6.15,113.71,ash gourd
74,39,42,33.11,78.9,6.29,78.39,ash gourd
66,31,41,24.47,62.14,7.21,61.39,ash gourd
46,60,56,27.05,67.81,6.43,163.78,ash gourd
86,40,42,28.5,68.04,6.28,51.76,ash gourd
60,45,53,27.66,71.75,7.24,78.72,ash gourd
74,40,39,25.1,66.0,6.58,189.14,ash gourd
81,54,41,27.86,67.34,5.84,124.79,ash gourd
74,49,56,24.36,61.01,7.19,181.14,ash gourd
85,46,43,23.05,72.11,6.7,74.71,ash gourd
86,50,39,29.71,63.42,7.27,154.09,ash gourd
48,35,52,33.33,75.09,7.22,59.55,ash gourd
58,38,36,30.73,59.07,7.23,102.5,ash gourd
86,40,44,26.89,79.04,7.09,78.41,ash gourd
61,31,40,29.73,71.42,5.6,177.62,ash gourd
88,36,38,26.38,62.3,7.27,136.34,ash gourd
92,53,43,26.27,63.23,6.52,64.74,ash gourd
86,41,47,33.53,56.38,6.97,120.42,ash gourd
74,54,42,25.47,77.49,7.29,161.68,ash gourd
65,43,59,29.68,62.34,5.61,183.08,ash gourd
83,42,48,33.23,76.75,5.5,76.07,ash gourd
62,33,47,23.53,67.14,6.0,105.53,ash gourd
99,43,56,25.49,74.53,5.87,126.61,ash gourd
56,43,53,21.69,77.71,6.19,80.49,ash gourd
57,32,49,26.1,67.83,5.82,54.23,ash gourd
62,53,43,27.61,62.12,5.51,194.56,ash gourd
50,43,60,30.26,54.64,5.67,67.92,ash gourd
80,31,46,20.18,57.53,6.72,66.8,ash gourd
45,59,33,31.39,75.87,5.69,161.51,ash gourd
110,45,38,22.61,59.13,5.87,72.53,bajra
83,54,43,33.38,71.87,6.71,136.35,bajra
110,46,59,26.63,79.65,6.32,192.47,bajra
84,52,34,22.52,66.18,6.27,68.94,bajra
76,56,36,34.93,70.94,6.74,80.13,bajra
76,38,54,29.18,54.84,5.89,190.27,bajra
108,46,33,20.37,73.7,5.87,90.83,bajra
85,42,50,28.04,73.45,5.8,128.48,bajra
89,33,32,22.7,76.82,6.55,163.47,bajra
101,49,58,20.65,71.41,6.88,164.73,bajra
107,41,36,25.66,58.02,6.12,70.15,bajra
76,59,38,20.97,74.83,6.57,57.39,bajra
70,58,52,31.25,69.36,6.07,79.9,bajra
100,35,43,26.12,56.23,5.53,144.69,bajra
80,48,30,26.8,51.67,5.99,146.72,bajra
72,55,53,21.92,60.49,6.97,195.96,bajra
100,60,53,23.14,51.13,7.11,82.36,bajra
97,55,48,28.46,67.46,7.46,161.15,bajra
77,47,49,32.55,63.22,6.06,82.52,bajra
116,48,54,25.53,68.13,6.77,193.94,bajra
106,44,40,29.08,78.23,6.12,91.6,bajra
100,30,39,31.4,76.59,7.47,151.47,bajra
109,48,36,28.29,56.87,7.42,197.79,bajra
84,47,52,20.88,67.48,6.05,181.58,bajra
77,30,51,24.02,57.55,7.45,90.13,bajra
96,34,46,30.63,71.66,6.31,125.17,bajra
106,54,54,27.96,76.55,6.23,52.22,bajra
74,35,48,32.83,68.54,6.1,184.12,bajra
110,51,56,25.88,77.37,7.08,132.6,bajra
117,51,60,29.07,79.65,7.14,194.5,bajra
83,46,56,29.06,72.67,7.22,196.89,bajra
84,36,44,33.86,73.37,5.9,160.15,bajra
78,50,54,20.23,76.68,6.01,105.55,bajra
